,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Rift Valley,35.42,39.24,66.05,138.68,95.85,52.01,56.81,57.12,45.05,54.77,85.88,46.28,43.92,35.69,67.23,126.56,91.32,53.82,59.3,64.18,45.61,71.26,81.5,52.56
Nyanza,71.66,88.32,151.42,224.12,184.09,95.65,74.18,100.34,104.29,111.92,148.12,98.04,96.78,73.42,158.17,207.15,174.74,114.3,65.43,98.9,121.68,146.54,142.62,111.74
Western,52.11,82.88,121.42,214.04,211.66,127.02,124.49,156.2,125.8,124.28,124.87,65.97,72.93,68.36,128.2,207.08,205.99,134.53,123.18,170.06,144.19,176.69,118.24,78.95
Coast,29.94,20.12,59.78,111.66,115.84,55.77,34.26,26.76,35.34,46.85,103.43,69.96,29.33,20.2,59.14,92.84,113.25,50.16,28.22,24.32,29.06,50.07,114.46,72.23
Central,51.69,52.1,97.77,250.04,226.29,76.2,74.98,73.92,57.61,122.74,168.95,82.26,65.31,53.89,94.84,213.11,212.4,66.65,73.36,74.08,51.75,149.3,170.28,90.97
Nairobi,53.42,47.25,95.92,213.63,164.09,36.52,18.86,21.79,27.71,57.21,148.86,89.17,64.21,47.66,91.06,177.48,142.69,30.3,15.87,21.48,23.19,67.07,143.37,96.28
Eastern,37.94,26.02,60.08,155.36,62.82,8.69,5.71,4.6,10.99,66.81,131.79,53.95,39.4,25.12,58.94,133.61,58.12,8.1,5.78,4.74,9.43,73.22,138.22,60.21
North Eastern,12.85,10.3,38.77,112.55,70.44,17.5,10.03,6.25,11.63,53.08,81.19,32.08,11.96,9.27,35.84,98.76,64.06,16.42,9.42,6.16,10.07,56.4,88.95,40.22
