,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1901,30.38,21.91,30.87,30.79,24.30,32.75,28.09,29.11,27.76
1902,30.55,22.12,31.17,30.95,24.51,32.90,28.23,29.25,27.90
1903,30.53,22.01,30.99,30.96,24.37,32.93,28.16,29.24,27.82
1904,29.88,21.42,30.43,30.27,23.82,32.26,27.54,28.60,27.17
1905,30.02,21.59,30.66,30.42,23.95,32.41,27.52,28.69,27.26
1906,29.74,21.17,30.24,30.19,23.51,32.22,27.08,28.42,26.87
1907,29.83,21.29,30.40,30.25,23.70,32.28,27.35,28.50,26.98
1908,30.46,21.95,31.00,30.88,24.30,32.88,28.01,29.15,27.71
1909,29.22,20.62,29.89,29.64,23.02,31.75,26.50,27.83,26.15
1910,29.34,20.55,29.69,29.84,22.86,31.95,26.44,27.98,26.19
1911,29.56,20.96,30.01,30.01,23.32,31.97,26.96,28.29,26.68
1912,29.15,20.69,30.01,29.51,23.18,31.58,26.63,27.73,26.19
1913,28.85,20.21,29.44,29.25,22.58,31.44,26.22,27.44,25.92
1914,29.27,20.70,29.86,29.65,23.08,31.78,26.73,27.91,26.42
1915,29.37,20.71,30.02,29.79,23.07,32.05,26.61,27.86,26.30
1916,28.91,20.19,29.55,29.33,22.53,31.68,26.09,27.37,25.79
1917,28.54,19.69,29.19,28.99,22.01,31.51,25.48,26.86,25.19
1918,28.77,20.06,29.39,29.19,22.41,31.52,25.98,27.25,25.68
1919,28.81,20.22,29.38,29.18,22.60,31.34,26.28,27.47,25.98
1920,28.77,20.17,29.34,29.14,22.56,31.30,26.25,27.42,25.94
1921,30.39,21.90,31.06,30.80,24.28,32.88,27.88,28.99,27.54
1922,30.47,21.89,31.18,30.90,24.23,33.13,27.76,28.94,27.42
1923,30.20,21.91,30.74,30.52,24.35,32.50,28.23,28.97,27.78
1924,30.97,22.26,31.69,31.38,24.59,33.95,28.09,29.26,27.74
1925,30.58,21.99,31.26,30.99,24.35,33.26,27.91,29.06,27.58
1926,30.78,22.41,31.43,31.16,24.82,33.12,28.52,29.48,28.15
1927,30.74,22.48,31.32,31.07,24.93,33.08,28.79,29.46,28.32
1928,31.04,22.63,31.69,31.41,25.01,33.56,28.70,29.61,28.29
1929,28.85,20.26,29.41,29.23,22.65,31.63,26.37,27.34,25.95
1930,28.95,20.32,29.54,29.35,22.69,31.63,26.34,27.47,26.00
1931,30.01,21.49,30.73,30.41,23.84,32.62,27.43,28.50,27.06
1932,29.33,20.87,29.99,29.69,23.28,31.75,26.94,27.99,26.60
1933,29.77,21.22,30.46,30.19,23.53,32.42,27.06,28.25,26.79
1934,29.78,21.21,30.45,30.20,23.51,32.41,27.08,28.28,26.80
1935,29.75,21.24,30.43,30.15,23.57,32.33,27.16,28.29,26.88
1936,29.60,21.08,30.28,30.00,23.40,32.22,26.96,28.12,26.70
1937,29.84,21.26,30.51,30.27,23.54,32.60,27.10,28.27,26.82
1938,29.87,21.45,30.49,30.24,23.80,32.36,27.48,28.48,27.16
1939,30.15,21.63,30.82,30.57,23.92,32.78,27.51,28.65,27.22
1940,30.54,22.13,31.18,30.89,24.52,33.06,28.15,29.15,27.84
1941,30.42,22.08,30.96,30.79,24.41,32.81,28.22,29.11,27.93
