,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1901,18.42,9.99,20.92,19.05,12.54,21.67,14.55,15.65,13.40
1902,18.60,10.23,21.23,19.21,12.83,21.81,14.84,15.81,13.57
1903,18.53,10.09,21.04,19.18,12.61,21.81,14.60,15.75,13.45
1904,17.91,9.51,20.49,18.52,12.09,21.16,14.03,15.14,12.82
1905,18.10,9.75,20.74,18.68,12.36,21.31,14.35,15.32,13.00
1906,17.81,9.32,20.31,18.43,11.91,21.11,13.90,15.04,12.61
1907,17.84,9.37,20.45,18.46,11.93,21.15,13.80,15.02,12.61
1908,18.50,10.06,21.06,19.14,12.60,21.78,14.56,15.70,13.38
1909,17.26,8.73,19.94,17.88,11.32,20.63,13.06,14.38,11.82
1910,17.35,8.65,19.75,18.04,11.16,20.81,13.00,14.52,11.86
1911,17.58,9.06,20.06,18.22,11.61,20.84,13.53,14.84,12.34
1912,17.18,8.80,20.07,17.75,11.48,20.48,13.19,14.28,11.86
1913,16.89,8.32,19.50,17.50,10.88,20.34,12.78,13.99,11.59
1914,17.31,8.80,19.92,17.91,11.38,20.68,13.29,14.46,12.09
1915,17.42,8.82,20.08,18.06,11.37,20.97,13.17,14.42,11.97
1916,16.96,8.29,19.61,17.61,10.83,20.59,12.65,13.93,11.46
1917,16.59,7.80,19.25,17.26,10.31,20.42,12.04,13.42,10.86
1918,16.82,8.16,19.45,17.46,10.71,20.44,12.53,13.81,11.34
1919,16.86,8.32,19.44,17.46,10.90,20.25,12.84,14.03,11.65
1920,16.82,8.28,19.40,17.42,10.86,20.22,12.81,13.99,11.61
1921,18.44,10.00,21.12,19.07,12.57,21.80,14.44,15.55,13.21
1922,18.52,9.99,21.23,19.18,12.53,22.05,14.32,15.50,13.09
1923,18.02,9.42,20.75,18.70,11.93,21.42,13.63,15.09,12.50
1924,19.02,10.35,21.75,19.66,12.88,22.87,14.63,15.81,13.39
1925,18.63,10.10,21.32,19.26,12.65,22.17,14.48,15.62,13.25
1926,18.77,10.35,21.48,19.41,12.92,22.04,14.77,15.92,13.55
1927,18.52,9.87,21.32,19.22,12.36,22.00,13.96,15.49,12.85
1928,18.96,10.40,21.72,19.63,12.92,22.48,14.63,15.92,13.44
1929,16.66,7.72,19.41,17.39,10.18,20.55,11.71,13.43,10.63
1930,16.90,8.17,19.58,17.58,10.69,20.54,12.41,13.84,11.26
1931,18.06,9.60,20.79,18.68,12.13,21.53,13.99,15.06,12.73
1932,17.38,8.98,20.05,17.97,11.57,20.66,13.51,14.56,12.27
1933,17.82,9.30,20.53,18.45,11.86,21.34,13.72,14.82,12.40
1934,17.83,9.29,20.52,18.47,11.84,21.33,13.74,14.84,12.41
1935,17.78,9.24,20.49,18.41,11.82,21.25,13.72,14.81,12.39
1936,17.63,9.08,20.34,18.26,11.67,21.13,13.56,14.64,12.20
1937,17.82,9.11,20.56,18.51,11.64,21.52,13.41,14.68,12.09
1938,17.80,9.20,20.54,18.45,11.75,21.28,13.56,14.81,12.26
1939,18.17,9.59,20.88,18.82,12.13,21.70,13.96,15.14,12.66
1940,18.51,9.97,21.23,19.13,12.56,21.98,14.36,15.54,13.09
1941,18.35,9.81,21.00,19.00,12.35,21.73,14.30,15.44,13.01
1942,18.33,9.78,20.92,18.96,12.33,21.73,14.30,15.45,13.02
1943,18.27,9.76,20.89,18.93,12.28,21.69,14.20,15.35,12.99
1944,18.53,10.00,21.19,19.17,12.56,22.00,14.44,15.58,13.14
1945,18.48,10.00,21.15,19.12,12.56,21.90,14.43,15.55,13.14
1946,18.51,10.05,21.18,19.15,12.64,21.91,14.47,15.58,13.16
1947,18.32,9.80,20.90,18.97,12.39,21.70,14.31,15.43,12.99
1948,18.27,9.75,21.03,18.89,12.36,21.69,14.21,15.31,12.85
1949,18.45,10.18,21.24,19.03,12.81,21.68,14.73,15.58,13.37
1950,17.94,9.44,20.76,18.58,12.05,21.35,13.87,14.95,12.51
1951,18.59,10.10,21.22,19.24,12.67,21.97,14.54,15.68,13.33
1952,18.95,10.54,21.70,19.59,13.10,22.29,14.89,16.03,13.62
1953,18.83,10.52,21.60,19.46,13.09,22.08,14.94,15.95,13.59
1954,18.63,10.27,21.40,19.25,12.86,21.91,14.70,15.75,13.42
1955,18.53,10.18,21.26,19.13,12.78,21.81,14.65,15.66,13.38
1956,17.98,9.78,20.92,18.49,12.40,21.20,14.26,15.11,12.95
1957,18.52,10.27,21.43,19.06,12.95,21.73,14.82,15.63,13.39
1958,18.79,10.48,21.61,19.35,13.13,21.99,15.09,15.95,13.71
1959,18.75,10.34,21.51,19.33,13.02,22.08,14.93,15.84,13.51
1960,18.52,10.17,21.17,19.10,12.83,21.76,14.81,15.70,13.46
1961,18.67,10.45,21.59,19.22,13.07,21.82,14.95,15.83,13.68
1962,18.31,9.92,21.10,18.91,12.50,21.68,14.34,15.37,13.09
1963,18.32,9.95,21.09,18.95,12.52,21.58,14.38,15.45,13.15
1964,18.09,9.74,20.76,18.71,12.31,21.26,14.25,15.29,13.01
1965,18.11,9.81,20.84,18.72,12.41,21.27,14.23,15.33,12.98
1966,18.50,10.28,21.29,19.09,12.87,21.63,14.77,15.70,13.48
1967,18.27,9.96,21.14,18.86,12.59,21.46,14.41,15.40,13.12
1968,17.84,9.38,20.56,18.47,11.98,21.20,13.88,14.93,12.60
