,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1961-1990,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020,1991-2020
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Rift Valley,22.54,23.32,23.64,23.16,22.46,21.53,21.04,21.29,22.18,22.85,22.33,22.39,23.24,24.04,24.39,23.92,23.12,22.23,21.73,22.09,22.94,23.48,22.98,22.91
Nyanza,21.7,22.06,22.14,21.64,21.23,20.63,20.28,20.66,21.13,21.83,21.33,21.4,22.38,22.78,22.84,22.32,21.84,21.31,20.93,21.48,21.87,22.47,21.97,21.88
Western,21.05,21.45,21.59,21.15,20.48,19.76,19.5,19.61,19.92,20.7,20.6,20.7,21.76,22.18,22.32,21.9,21.14,20.47,20.21,20.45,20.69,21.35,21.26,21.19
Coast,26.94,27.53,28.03,27.42,26.01,24.74,24.1,24.6,24.76,26.15,26.83,26.67,27.56,28.05,28.59,27.93,26.44,25.29,24.52,25.14,25.33,26.69,27.25,27.17
Central,16.33,17.06,17.44,17.24,16.47,15.13,14.39,14.51,15.5,16.54,16.12,16.08,16.98,17.68,18.08,17.89,17.02,15.75,14.95,15.18,16.17,17.14,16.68,16.55
Nairobi,19.17,19.81,20.23,19.73,18.67,17.15,16.25,16.61,18.12,19.34,18.8,18.78,19.83,20.42,20.86,20.34,19.21,17.75,16.76,17.28,18.75,19.93,19.34,19.25
Eastern,25.25,26.22,26.59,25.91,24.98,23.94,23.3,23.62,24.58,25.54,24.95,24.85,25.88,26.84,27.26,26.62,25.57,24.59,23.91,24.32,25.27,26.11,25.5,25.34
North Eastern,27.93,28.77,29.35,28.4,27.29,26.11,25.54,25.71,26.54,27.31,27.24,27.36,28.44,29.29,29.95,29.04,27.79,26.7,26.05,26.3,27.12,27.81,27.67,27.8
