,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,max_temp,max_temp,max_temp,max_temp,max_temp,max_temp,max_temp,max_temp,max_temp
,Kenya,Central,Coast,Eastern,Nairobi,North Eastern,Nyanza,Rift Valley,Western,Kenya,Central,Coast,Eastern,Nairobi,North Eastern,Nyanza,Rift Valley,Western,Kenya,Central,Coast,Eastern,Nairobi,North Eastern,Nyanza,Rift Valley,Western
1901,18.42,9.99,20.92,19.05,12.54,21.67,14.55,15.65,13.4,24.37,15.93,25.87,24.89,18.39,27.18,21.3,22.35,20.55,30.38,21.91,30.87,30.79,24.3,32.75,28.09,29.11,27.76
1902,18.6,10.23,21.23,19.21,12.83,21.81,14.84,15.81,13.57,24.55,16.15,26.18,25.06,18.64,27.33,21.51,22.51,20.7,30.55,22.12,31.17,30.95,24.51,32.9,28.23,29.25,27.9
1903,18.53,10.09,21.04,19.18,12.61,21.81,14.6,15.75,13.45,24.5,16.03,25.99,25.04,18.48,27.34,21.35,22.47,20.61,30.53,22.01,30.99,30.96,24.37,32.93,28.16,29.24,27.82
1904,17.91,9.51,20.49,18.52,12.09,21.16,14.03,15.14,12.82,23.87,15.44,25.44,24.37,17.93,26.69,20.76,21.84,19.97,29.88,21.42,30.43,30.27,23.82,32.26,27.54,28.6,27.17
1905,18.1,9.75,20.74,18.68,12.36,21.31,14.35,15.32,13.0,24.03,15.64,25.68,24.52,18.13,26.83,20.92,21.98,20.1,30.02,21.59,30.66,30.42,23.95,32.41,27.52,28.69,27.26
1906,17.81,9.32,20.31,18.43,11.91,21.11,13.9,15.04,12.61,23.75,15.22,25.25,24.28,17.69,26.64,20.47,21.71,19.71,29.74,21.17,30.24,30.19,23.51,32.22,27.08,28.42,26.87
1907,17.84,9.37,20.45,18.46,11.93,21.15,13.8,15.02,12.61,23.81,15.3,25.4,24.33,17.79,26.69,20.55,21.74,19.77,29.83,21.29,30.4,30.25,23.7,32.28,27.35,28.5,26.98
1908,18.5,10.06,21.06,19.14,12.6,21.78,14.56,15.7,13.38,24.46,15.98,26.01,24.98,18.43,27.3,21.26,22.4,20.52,30.46,21.95,31.0,30.88,24.3,32.88,28.01,29.15,27.71
1909,17.26,8.73,19.94,17.88,11.32,20.63,13.06,14.38,11.82,23.22,14.65,24.89,23.73,17.15,26.16,19.76,21.08,18.95,29.22,20.62,29.89,29.64,23.02,31.75,26.5,27.83,26.15
1910,17.35,8.65,19.75,18.04,11.16,20.81,13.0,14.52,11.86,23.32,14.57,24.7,23.91,16.99,26.36,19.69,21.23,18.99,29.34,20.55,29.69,29.84,22.86,31.95,26.44,27.98,26.19
1911,17.58,9.06,20.06,18.22,11.61,20.84,13.53,14.84,12.34,23.54,14.98,25.01,24.09,17.45,26.38,20.22,21.54,19.48,29.56,20.96,30.01,30.01,23.32,31.97,26.96,28.29,26.68
1912,17.18,8.8,20.07,17.75,11.48,20.48,13.19,14.28,11.86,23.14,14.72,25.01,23.61,17.31,26.0,19.89,20.98,18.99,29.15,20.69,30.01,29.51,23.18,31.58,26.63,27.73,26.19
1913,16.89,8.32,19.5,17.5,10.88,20.34,12.78,13.99,11.59,22.84,14.24,24.45,23.35,16.71,25.87,19.48,20.69,18.72,28.85,20.21,29.44,29.25,22.58,31.44,26.22,27.44,25.92
1914,17.31,8.8,19.92,17.91,11.38,20.68,13.29,14.46,12.09,23.26,14.73,24.86,23.76,17.2,26.21,19.99,21.16,19.22,29.27,20.7,29.86,29.65,23.08,31.78,26.73,27.91,26.42
1915,17.42,8.82,20.08,18.06,11.37,20.97,13.17,14.42,11.97,23.37,14.74,25.02,23.9,17.2,26.48,19.87,21.12,19.11,29.37,20.71,30.02,29.79,23.07,32.05,26.61,27.86,26.3
1916,16.96,8.29,19.61,17.61,10.83,20.59,12.65,13.93,11.46,22.91,14.22,24.55,23.45,16.66,26.11,19.34,20.62,18.59,28.91,20.19,29.55,29.33,22.53,31.68,26.09,27.37,25.79
1917,16.59,7.8,19.25,17.26,10.31,20.42,12.04,13.42,10.86,22.54,13.72,24.2,23.1,16.14,25.94,18.74,20.12,18.0,28.54,19.69,29.19,28.99,22.01,31.51,25.48,26.86,25.19
